,created_at,author_id,text,retweet_count,reply_count,like_count,quote_count
50,2022-03-21 20:22:04+00:00,1501152047705567235,b'The Ukrainian people will not forget your support.\n\nThank you!!!\n\nDrop coming soon!\n\n#ETH #nfts #art #Ukraine #NFT #nft #help #blockchain #Bitcoin #cryptoart #nftart #Crypto https://t.co/Krjq23r4lb',3,0,5,0
51,2022-03-21 20:15:35+00:00,1475038004,"b""#Bitcoin's Performance Under Recent Stress - E238a\nNew podcast episode! It's a short one, w/ a longer part 2 is coming by Wed.\n\nBitcoin has performed well relative to #gold and stocks since military operations in #Ukraine started on 24 Feb. Rundown here.\nhttps://t.co/jZLMGF5uiv""",0,0,1,0
52,2022-03-21 20:11:06+00:00,943993907968344064,b'China goes all in supporting Russia.  This means U.S. sanctions against China are imminent.  Get ready for a recession.  Buy bitcoin when discounted.  \n\n#ChinaRussia #bitcoin #Ukraine',0,0,1,0
53,2022-03-21 20:10:19+00:00,1490355823838744583,b'From Offering $50K in BTC to Breaching TV Networks: How is Anonymous Fighting Russia  #btc #russia',0,0,0,0
54,2022-03-21 20:01:45+00:00,209776474,b'Dude what the hell? if you mess with @blockchain  stop ASAP!!#bitcoin #crypto #cryptocurrency #cryptotrading #blockchain #blockchainsupport #putin #Ukraine #ElonMusk https://t.co/Y2wEzPitct',0,0,0,0
55,2022-03-21 19:57:06+00:00,1093178570,"b'@Euan_MacDonald @LindaMaryGG #Ukraine turning into many things, one being #Haiti on steroids.  $$$ will end up in oligarch hands &amp; swiss bank accts.  Children will disappear and end up trafficked.\n\n#Globalism #childtrafficking #planecrash #babylonbee \n#LetsGoBrandon #FJB #Covid #War #BTC #LauraSilsby \n#HRC'",0,0,0,0
56,2022-03-21 19:54:29+00:00,1498046915820281861,"b""These are incompetent scammers who lost 3  trillion #FLOKI. Don't buy #FLOKI and don't recommend to anyone. It has lost 12 times its value in 3 months. Look price, the robbery continues now.There are hundreds of thousands of victims now. #btc #shiba #doge  #war #ukraine""",0,1,0,0
57,2022-03-21 19:47:17+00:00,1504419885375393793,b'You can\xe2\x80\x99t afford to let this amazing opportunity slip by! \xe2\x9a\xa1\xef\xb8\x8f\xe2\x9a\xa1\xef\xb8\x8f\xe2\x9a\xa1\xef\xb8\x8f\nBECOME AN INVESTOR NOW! \xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\n\xf0\x9f\x91\x87\xf0\x9f\x91\x87\nhttps://t.co/sFZKunPdAQ\nVIDEO @ https://t.co/82rfde4lKX\n#ammunition #ammocrypto #investment #currency\n#bitcoin #firearms #war #Ukraine #Russiawar\n#UkraineWar #Military #Veterans https://t.co/idq2h72L3q',0,0,0,0
58,2022-03-21 19:40:38+00:00,735952126732443652,b'#bitcoin #ethereum #russia #ukraine #fed So basically russia is planning on cyber attacking the usa. So I know what I got to do with my .00002 Bitcoins. straight to the USB.',0,0,1,0
59,2022-03-21 19:39:26+00:00,1466496750777106437,b'\xe2\xac\x86 +4 Prince Philip of Serbia says \xe2\x80\x9conly way around inflation is Bitcoin\xe2\x80\x9d https://t.co/x05vZdEFaN\n#Bitcoin \n#BTC \n#Cryptos \n#cryptocurrencies \n#cryptocurrency \n#Ripple \n#xrp\n#Ukraine \n#Serbia',0,0,2,0
60,2022-03-21 19:36:44+00:00,1442254980715479042,b'Slight Bullish Divergence on the 4hr and the Daily BTC Chart. #btc #Bitcoin #ETH #Ethereum #cryptocurrency #cryptocurrencies #Cryptos #cryptotrading #Ukraine #Ukraine\xef\xb8\x8f #UkraineRussiaWar #UkraineWar',0,0,0,0
61,2022-03-21 19:36:36+00:00,2281314234,b'Financial advisors are still reluctant to use cryptocurrencies. Investor demand may change that #Personaltaxes #Personalincome #Retirementplanning #Personalspending #Personalsaving #Personalinvesting #Ethereum #Bitcoin #Ukraine https://t.co/iIwbqkWIR8 https://t.co/Wy3e1MCCjM',0,0,0,0
62,2022-03-21 19:33:53+00:00,1503707911461163012,b'please buy this product #OpenSeaNFT #Polygon #AnimeNFT #Cryptos #NFTs  #ETH   #UkraineRussianWar  #Ukraine #Dolar #Bitcoin #Anime https://t.co/RjYVHh3BrD',0,0,1,0
