time,open,high,low,close,Volume,Volume MA
2022-03-27T20:00:00Z,44850,44870,44717,44782,3020624.2287,5414283.178219958
2022-03-27T20:30:00Z,44782,46635,44771,46134,73827091.4502,9015481.86577496
2022-03-27T21:00:00Z,46134,46578,45851,46460,13003826.7961,9611116.784934958
2022-03-27T21:30:00Z,46460,46802,46227,46587,24582313.1171,10458775.18206496
2022-03-27T22:00:00Z,46587,46961,46371,46804,35978124.9318,11653584.17925996
2022-03-27T22:30:00Z,46804,46893,46596,46616,13507365.753,12171007.99458996
2022-03-27T23:00:00Z,46616,46751,46560,46746,6157063.035399998,12218326.54201996
2022-03-27T23:30:00Z,46746,46886,46664,46841,9818041.031799996,12516145.230284961
2022-03-28T00:00:00Z,46841,46914,46672,46821,7501118.954100003,12323403.666714963
2022-03-28T00:30:00Z,46821,47645,46821,46899,60234061.639099985,15000151.435059961
